PENDIDIKAN ILMU KOMPUTER,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN MATEMATIKA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN FISIKA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN KIMIA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN BIOLOGI,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN IPA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN IPS,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN BIMBINGAN KONSELING,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN LUAR BIASA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
TEKNOLOGI  PENDIDIKAN,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN GURU SD,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN GURU PAUD,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PSKGJ-PPKHB,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN PROFESI GURU,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN SEJARAH,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN GEOGRAFI,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN EKONOMI,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN SOSIOLOGI ANTROPOLOGI,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN PANCASILA & KEWARGANEGARAAN,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN BAHASA INGGRIS,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
PENDIDIKAN SENI, DRAMA, TARI DAN MUSIK,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN
ILMU HUKUM,FAKULTAS HUKUM
KENOTARIATAN,FAKULTAS HUKUM
ILMU HUKUM,FAKULTAS HUKUM
ILMU EKONOMI,FAKULTAS EKONOMI DAN BISNIS
EKONOMI & STUDI PEMBANGUNAN,FAKULTAS EKONOMI DAN BISNIS
MANAJEMEN,FAKULTAS EKONOMI DAN BISNIS
MANAJEMEN,FAKULTAS EKONOMI DAN BISNIS
AKUNTANSI,FAKULTAS EKONOMI DAN BISNIS
AKUNTANSI,FAKULTAS EKONOMI DAN BISNIS
AKUNTANSI,FAKULTAS EKONOMI DAN BISNIS
AKUNTAN,FAKULTAS EKONOMI DAN BISNIS
PERPAJAKAN,FAKULTAS EKONOMI DAN BISNIS
GEOGRAFI,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK
MAGISTER ADMINISTRASI PUBLIK,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK
MAGISTER  ADMINISTRASI BISNIS,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK
ILMU ADMINISTRASI PUBLIK,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK
ILMU ADMINISTRASI BISNIS,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK
MAGISTER ILMU PEMERINTAHAN,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK
ILMU PEMERINTAHAN,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK
SOSIOLOGI,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK
ILMU KOMUNIKASI,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK
TEKNOLOGI INDUSTRI PERTANIAN,FAKULTAS PERTANIAN
EKONOMI PERTANIAN,FAKULTAS PERTANIAN
AGRONOMI,FAKULTAS PERTANIAN
AGRIBISNIS,FAKULTAS PERTANIAN
AGRONOMI,FAKULTAS PERTANIAN
AGROEKOTEKNOLOGI,FAKULTAS PERTANIAN
PETERNAKAN,FAKULTAS PERTANIAN
ILMU TANAH,FAKULTAS PERTANIAN
PROTEKSI TANAMAN,FAKULTAS PERTANIAN
KEHUTANAN,FAKULTAS KEHUTANAN
ILMU KELAUTAN,FAKULTAS PERIKANAN DAN KELAUTAN
MANAJEMEN SUMBERDAYA PERAIRAN,FAKULTAS PERIKANAN DAN KELAUTAN
BUDIDAYA PERAIRAN,FAKULTAS PERIKANAN DAN KELAUTAN
